stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
3390CL74,,"Whitegate Vale",,52.9033091232,-1.1815712512,,,,,,
3390CL75,,"Langstrath Road",,52.9046263475,-1.1835684913,,,,,,
3390CL76,,"Green Lane, Dalehead Road",,52.9063790555,-1.1861524334,,,,,,
3390CL77,,"Winscombe Mount",,52.8957506853,-1.1857568923,,,,,,
3390CL77a,,"Winscombe Mount",,52.8957499723,-1.1856528505,,,,,,
3390CL78,,"Pastures Avenue South",,52.8934183046,-1.1851614294,,,,,,
3390CL78a,,"Pastures Avenue South",,52.8934810197,-1.1851305251,,,,,,
3390CL79,,"Thistledown Road",,52.8931554066,-1.1835313044,,,,,,
3390CL79a,,"Thistledown Road",,52.8932270076,-1.1834853668,,,,,,
3390CL80,,"Clarewood Grove",,52.8925428009,-1.1794255068,,,,,,
3390CL80a,,"Clarewood Grove",,52.8926235939,-1.1794091175,,,,,,
3390CL81,,"Breckswood Drive",,52.8940473936,-1.1747147997,,,,,,
3390CL81a,,"Breckswood Drive",,52.8940752878,-1.1748480501,,,,,,
3390CL82,,"Fairham School",,52.8965540168,-1.1732103962,,,,,,
3390CL82a,,"Fairham School",,52.8965459591,-1.1733443372,,,,,,
3390CL83,,"Clifton Lane, Nottm Trent Uni",,52.9112641533,-1.1814659668,,,,,,
